fecha;descripcion_dia;tipo_festivo
2019-01-01;AÑO NUEVO;NACIONAL
2019-01-05;CABALGATA REYES;EVENTO
2019-01-07;REYES;NACIONAL
2019-02-28;ANDALUCIA;AUTONOMICO
2019-04-14;SEMANA SANTA;EVENTO
2019-04-15;SEMANA SANTA;EVENTO
2019-04-16;SEMANA SANTA;EVENTO
2019-04-17;SEMANA SANTA;EVENTO
2019-04-18;JUEVES SANTO;AUTONOMICO
2019-04-19;VIERNES SANTO;AUTONOMICO
2019-04-20;SEMANA SANTA;EVENTO
2019-04-21;SEMANA SANTA;EVENTO
2019-05-01;TRABAJO;NACIONAL
2019-05-04;FERIA SEVILLA;EVENTO
2019-05-05;FERIA SEVILLA;EVENTO
2019-05-06;FERIA SEVILLA;EVENTO
2019-05-07;FERIA SEVILLA;EVENTO
2019-05-08;FERIA SEVILLA;LOCAL
2019-05-09;FERIA SEVILLA;EVENTO
2019-05-10;FERIA SEVILLA;EVENTO
2019-05-11;FERIA SEVILLA;EVENTO
2019-06-05;ROCIO;EVENTO
2019-06-06;ROCIO;EVENTO
2019-06-07;ROCIO;EVENTO
2019-06-08;ROCIO;EVENTO
2019-06-09;ROCIO;EVENTO
2019-06-10;ROCIO;EVENTO
2019-06-11;ROCIO;EVENTO
2019-06-12;ROCIO;EVENTO
2019-06-13;ROCIO;EVENTO
2019-06-14;ROCIO;EVENTO
2019-06-20;CORPUS;LOCAL
2019-08-15;ASUNCION;NACIONAL
2019-10-12;HISPANIDAD;NACIONAL
2019-11-01;TODOS LOS SANTOS;NACIONAL
2019-12-06;CONSTITUCIÓN;NACIONAL
2019-12-09;INMACULADA;NACIONAL
2019-12-24;NOCHEBUENA;EVENTO
2019-12-25;NAVIDAD;NACIONAL
2019-12-31;NOCHEVIEJA;EVENTO
